,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_reg_alpha,param_reg_lambda,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
4,26.4791999817,0.069000005722,0.678352834182,0.84228555461,0.8,0,0.1,5,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",1,0.69269834758,0.841532873115,0.724047498138,0.838541146396,0.678172615956,0.838748945087,0.618598066423,0.845640902742,0.678247618148,0.84696390571,0.243594290076,0.00328635832838,0.0342483483925,0.00347102461331
5,25.4985999584,0.0670000076294,0.675071019844,0.842986397184,0.8,0,0.1,5,0,0,0.85,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.85, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",3,0.679371788668,0.840849298491,0.716591082952,0.841281445537,0.692206953616,0.838955264739,0.609148660774,0.846876473926,0.67803730854,0.846969503229,0.375242111905,0.00126493247646,0.0357516610279,0.00330822945252
6,27.9636000633,0.0684000015259,0.66928678553,0.841095645813,0.85,0,0.1,5,0,0,0.75,"{'reg_alpha': 0, 'colsample_bytree': 0.85, 'learning_rate': 0.1, 'subsample': 0.75, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",8,0.665166028101,0.843507726185,0.721825962335,0.837296905117,0.675101156808,0.840034127107,0.618286403313,0.837120580756,0.666053619203,0.847518889902,0.677558993362,0.00313682336159,0.032932952473,0.00396067144297
7,28.4188000679,0.0727999687195,0.676698051859,0.842620285838,0.85,0,0.1,5,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.85, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",2,0.6910136393,0.841768089167,0.720898926895,0.838823242116,0.687870520076,0.838039270831,0.608987182331,0.845904735688,0.674719526903,0.848566091389,0.0902827523262,0.00193905435745,0.0370741827614,0.00405634547725
8,28.4145999908,0.072200012207,0.671753760707,0.842766486253,0.85,0,0.1,5,0,0,0.85,"{'reg_alpha': 0, 'colsample_bytree': 0.85, 'learning_rate': 0.1, 'subsample': 0.85, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",7,0.680856027609,0.842233605435,0.70540867203,0.839570076448,0.697832106321,0.839748505744,0.619388494731,0.84341027979,0.65527964112,0.848869963847,0.0421455258785,0.00172047893441,0.0313345453618,0.00338455647955
0,25.2685998917,0.0662000656128,0.678352834182,0.84228555461,0.8,0,0.1,5,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",2,0.69269834758,0.841532873115,0.724047498138,0.838541146396,0.678172615956,0.838748945087,0.618598066423,0.845640902742,0.678247618148,0.84696390571,0.154286217918,0.00146970412414,0.0342483483925,0.00347102461331
1,25.2427999496,0.0662000179291,0.677057032439,0.842718479573,0.8,0,0.1,5,0,0.01,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0.01, 'max_depth': 5, 'gamma': 0}",8,0.693562127985,0.841488605257,0.714310569231,0.83974698844,0.67626098242,0.840604958871,0.619849484157,0.845603112251,0.681302993704,0.846148733046,0.122053043509,0.00160005688728,0.0314701050941,0.00264185785825
2,25.5115999699,0.0661999702454,0.669103464624,0.841941539175,0.8,0,0.1,5,0,0.1,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0.1, 'max_depth': 5, 'gamma': 0}",18,0.679873747806,0.840064466747,0.709681780184,0.839008591122,0.668697162595,0.839030068431,0.611446131037,0.845193079372,0.675820075948,0.846411490204,0.785904964054,0.00146968466185,0.0320389600528,0.00319860041029
3,24.8289999485,0.0646000862122,0.671125863964,0.838672374476,0.8,0,0.1,5,0,1,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 1, 'max_depth': 5, 'gamma': 0}",11,0.692511197717,0.838167416999,0.717818126852,0.832856031526,0.681339284821,0.839812793201,0.601340789203,0.840260185089,0.662617926867,0.842265445566,0.114073735464,0.00120003223774,0.039203313205,0.0031879988908
4,24.8304000378,0.0645999908447,0.666181098073,0.760176850111,0.8,0,0.1,5,0,100,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 100, 'max_depth': 5, 'gamma': 0}",21,0.670365449273,0.758832035663,0.712134360265,0.75157852266,0.675473935166,0.755605339977,0.597193665009,0.77591156823,0.675740321444,0.758956784024,0.214336710726,0.00185474867096,0.0375939422496,0.00831514739841
5,25.8941999435,0.0634000301361,0.67835283435,0.842285554575,0.8,0,0.1,5,0.01,0,0.8,"{'reg_alpha': 0.01, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",1,0.69269834758,0.84153287308,0.724047498167,0.838541146325,0.678172615954,0.838748944903,0.618598067455,0.845640902742,0.67824761793,0.846963905822,0.177651753439,0.00101973934629,0.0342483480402,0.00347102469753
6,27.1412000656,0.068199968338,0.677057032563,0.842718479611,0.8,0,0.1,5,0.01,0.01,0.8,"{'reg_alpha': 0.01, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0.01, 'max_depth': 5, 'gamma': 0}",7,0.693562127985,0.841488605355,0.714310569235,0.839746988436,0.676260982383,0.840604958941,0.619849484114,0.845603112239,0.681302994403,0.846148733082,0.52902682664,0.002785653774,0.03147010513,0.00264185784576
7,27.3660000324,0.0711999893188,0.669103464835,0.841941538961,0.8,0,0.1,5,0.01,0.1,0.8,"{'reg_alpha': 0.01, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0.1, 'max_depth': 5, 'gamma': 0}",17,0.679873747891,0.840064466702,0.709681780196,0.839008591119,0.668697163579,0.839030067455,0.611446131014,0.845193079329,0.675820075948,0.8464114902,0.303526019921,0.00299327462902,0.0320389600672,0.00319860058389
8,27.2929999828,0.0702000141144,0.671125861763,0.838672373942,0.8,0,0.1,5,0.01,1,0.8,"{'reg_alpha': 0.01, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 1, 'max_depth': 5, 'gamma': 0}",12,0.692511197712,0.838167416782,0.717818123855,0.832856031343,0.681339276141,0.83981279095,0.601340789881,0.840260185088,0.662617926868,0.84226544555,0.445134193595,0.00213538592964,0.0392033117967,0.00318799879948
9,25.8036000729,0.0655999660492,0.666181097976,0.760176850227,0.8,0,0.1,5,0.01,100,0.8,"{'reg_alpha': 0.01, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 100, 'max_depth': 5, 'gamma': 0}",23,0.670365449273,0.758832035663,0.712134359782,0.751578523244,0.675473935166,0.755605339977,0.597193665009,0.77591156823,0.675740321444,0.758956784024,0.11196893529,0.000489920847309,0.0375939421315,0.00831514727765
10,26.3642001152,0.0667999744415,0.678352828108,0.842285554587,0.8,0,0.1,5,0.1,0,0.8,"{'reg_alpha': 0.1, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",4,0.69269834758,0.841532873037,0.724047498436,0.838541146358,0.678172615572,0.838748945633,0.618598067424,0.845640902729,0.678247586858,0.846963905179,0.63195773984,0.00324964689351,0.0342483481421,0.00347102436781
11,27.3269999504,0.0700000286102,0.677057031842,0.842718479555,0.8,0,0.1,5,0.1,0.01,0.8,"{'reg_alpha': 0.1, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0.01, 'max_depth': 5, 'gamma': 0}",9,0.693562126288,0.841488605074,0.71431056624,0.839746988231,0.676260982438,0.840604958799,0.619849483911,0.845603112177,0.681302995638,0.846148733494,0.0450644197222,0.00209755659315,0.0314701043497,0.00264185803412
12,27.5165999889,0.0726000785828,0.669103464251,0.841941538891,0.8,0,0.1,5,0.1,0.1,0.8,"{'reg_alpha': 0.1, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0.1, 'max_depth': 5, 'gamma': 0}",19,0.679873749082,0.840064466593,0.709681780156,0.839008590956,0.668697158962,0.839030067946,0.611446131039,0.845193079101,0.675820076467,0.846411489863,0.0658228535373,0.00185476409518,0.0320389601618,0.00319860039683
13,27.0895999908,0.0684000015259,0.671125861015,0.83867237414,0.8,0,0.1,5,0.1,1,0.8,"{'reg_alpha': 0.1, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 1, 'max_depth': 5, 'gamma': 0}",14,0.692511195605,0.838167416522,0.717818123582,0.832856031424,0.681339276134,0.839812790914,0.601340789813,0.840260184978,0.662617925585,0.842265446861,0.612330837598,0.00293934335953,0.0392033115813,0.00318799906019
14,26.0029999733,0.0654000759125,0.666181097977,0.760176850228,0.8,0,0.1,5,0.1,100,0.8,"{'reg_alpha': 0.1, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 100, 'max_depth': 5, 'gamma': 0}",22,0.670365449279,0.758832035659,0.712134359786,0.751578523246,0.675473935166,0.755605339977,0.597193665004,0.775911568225,0.675740321444,0.758956784034,0.157912593209,0.00205915277967,0.0375939421343,0.00831514727546
15,26.2585999966,0.0670000553131,0.678352830795,0.842285552348,0.8,0,0.1,5,1,0,0.8,"{'reg_alpha': 1, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",3,0.69269835609,0.841532871238,0.724047497915,0.838541143114,0.678172619064,0.838748943191,0.618598070862,0.845640901102,0.678247585374,0.846963903093,0.0925366750077,0.00141421221488,0.0342483475137,0.00347102476655
16,26.2765999794,0.0660000324249,0.677057031647,0.842718477923,0.8,0,0.1,5,1,0.01,0.8,"{'reg_alpha': 1, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0.01, 'max_depth': 5, 'gamma': 0}",10,0.693562123416,0.841488603359,0.714310569804,0.839746987358,0.676260980269,0.840604957768,0.619849485062,0.845603111256,0.681302994988,0.846148729876,0.0794571106012,9.53674316406e-08,0.0314701044675,0.00264185741438
17,26.268599987,0.0664000034332,0.669103464137,0.841941536879,0.8,0,0.1,5,1,0.1,0.8,"{'reg_alpha': 1, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0.1, 'max_depth': 5, 'gamma': 0}",20,0.679873750225,0.840064464486,0.709681780661,0.839008588595,0.668697163006,0.839030065581,0.61144612906,0.845193077496,0.675820072184,0.846411488238,0.167075577902,0.000489920847309,0.0320389608887,0.00319860072745
18,27.1032000065,0.0687999725342,0.671125860475,0.838672372846,0.8,0,0.1,5,1,1,0.8,"{'reg_alpha': 1, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 1, 'max_depth': 5, 'gamma': 0}",15,0.692511197304,0.838167415263,0.717818120947,0.832856031549,0.681339277049,0.839812788948,0.601340788751,0.840260183831,0.662617923966,0.842265444639,0.958035849311,0.00617733020223,0.0392033116351,0.00318799829865
19,29.8664000511,0.077799987793,0.666181097689,0.760176849773,0.8,0,0.1,5,1,100,0.8,"{'reg_alpha': 1, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 100, 'max_depth': 5, 'gamma': 0}",24,0.670365449634,0.758832035651,0.712134360184,0.751578523164,0.675473934253,0.755605337648,0.597193665048,0.775911568095,0.67574032012,0.758956784309,1.00193365192,0.00444518530498,0.0375939421108,0.00831514749128
20,30.8119999886,0.0776000499725,0.678352803467,0.842285357059,0.8,0,0.1,5,100,0,0.8,"{'reg_alpha': 100, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",5,0.692698256862,0.841532674024,0.724047498686,0.838540949083,0.678172522416,0.838748733701,0.618598078995,0.845640711721,0.678247635723,0.846963716768,0.436970979013,0.00174350431275,0.0342483366389,0.00347103103105
21,30.8800000191,0.0779999256134,0.677057062123,0.842718292967,0.8,0,0.1,5,100,0.01,0.8,"{'reg_alpha': 100, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0.01, 'max_depth': 5, 'gamma': 0}",6,0.693562204969,0.84148842826,0.714310612938,0.839746790545,0.676261000158,0.840604763649,0.619849477778,0.845602933337,0.681303010074,0.846148549042,0.549456506629,0.00384707066549,0.0314701261893,0.00264186323726
22,29.1498000145,0.0779999256134,0.669103476302,0.841941371389,0.8,0,0.1,5,100,0.1,0.8,"{'reg_alpha': 100, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0.1, 'max_depth': 5, 'gamma': 0}",16,0.679873725623,0.840064309471,0.709681822664,0.839008418704,0.668697166243,0.839029894946,0.611446132944,0.845192908645,0.67582010849,0.846411325179,0.577630125076,0.00540366374911,0.0320389699908,0.00319860123765
23,27.5635999203,0.0698000431061,0.671125861153,0.838672261896,0.8,0,0.1,5,100,1,0.8,"{'reg_alpha': 100, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 1, 'max_depth': 5, 'gamma': 0}",13,0.69251120497,0.838167310459,0.717818119288,0.832855908041,0.681339259421,0.839812673853,0.601340778605,0.840260081878,0.662617949126,0.842265335249,0.641168252367,0.0026381418063,0.0392033136782,0.00318800363786
24,26.4645999908,0.064999961853,0.666181086177,0.76017682221,0.8,0,0.1,5,100,100,0.8,"{'reg_alpha': 100, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 100, 'max_depth': 5, 'gamma': 0}",25,0.670365434556,0.758832017569,0.712134327867,0.751578490614,0.675473925031,0.755605309956,0.597193655919,0.775911540953,0.675740328308,0.758956751956,0.0612587574468,0.000894468988891,0.0375939371855,0.00831514852998
0,25.9426000595,0.0638000011444,0.310433096078,0.918077695762,0.8,0,1,5,0.01,0,0.8,"{'reg_alpha': 0.01, 'colsample_bytree': 0.8, 'learning_rate': 1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",2,0.394807328951,0.921473831602,0.263007806675,0.916927469562,0.280308110803,0.914278643556,0.328118422084,0.920412624576,0.285918065269,0.917295909513,0.0411756845591,0.000400018706227,0.0473071351995,0.00258273649165
1,26.329599905,0.0656001091003,0.67835283435,0.842285554575,0.8,0,0.1,5,0.01,0,0.8,"{'reg_alpha': 0.01, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",1,0.69269834758,0.84153287308,0.724047498167,0.838541146325,0.678172615954,0.838748944903,0.618598067455,0.845640902742,0.67824761793,0.846963905822,0.148185880722,0.00101981415523,0.0342483480402,0.00347102469753
2,26.1797999859,0.0608000278473,0.227059597246,0.289152393004,0.8,0,0.01,5,0.01,0,0.8,"{'reg_alpha': 0.01, 'colsample_bytree': 0.8, 'learning_rate': 0.01, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",3,0.181379963217,0.295243564289,0.264669729322,0.271804326145,0.244133938608,0.283317596551,0.197606609641,0.299390749142,0.247512539847,0.296005728891,0.0887950481658,0.00116621216534,0.0318704424527,0.0102361593404
